"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","sm__warps_active.avg.pct_of_peak_sustained_active"
"","","","","","","","","","","","Gbyte","Mbyte","ms","%"
"426","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.004254","0.381440","0.123520","84.169723"
"427","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.004619","0.470464","0.127136","84.190081"
"428","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadBlockKernel<32>(int *, int, int, int)","1","7","(16, 16, 1)","(1, 1, 1)","0","7.5","0.000055","0.000000","0.019520","24.964077"
"429","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.005798","1.139328","0.151168","83.807658"
"430","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.006169","0.926752","0.152640","83.428466"
"431","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowReverseKernel<32>(int *, int, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.002552","0.237056","0.033472","79.392353"
"432","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnReverseKernel<32>(int *, int, int, int, int, int)","1","7","(16, 16, 1)","(254, 1, 1)","0","7.5","0.003077","0.338624","0.035808","79.906728"
"433","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowReverseKernel<32>(int *, int, int, int, int, int)","1","7","(16, 16, 1)","(254, 1, 1)","0","7.5","0.004008","0.472608","0.058112","80.872663"
"434","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnReverseKernel<32>(int *, int, int, int, int, int)","1","7","(16, 16, 1)","(253, 1, 1)","0","7.5","0.004648","0.453504","0.059104","80.190888"
"435","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowReverseKernel<32>(int *, int, int, int, int, int)","1","7","(16, 16, 1)","(253, 1, 1)","0","7.5","0.005506","0.962752","0.083456","80.302807"
"436","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnReverseKernel<32>(int *, int, int, int, int, int)","1","7","(16, 16, 1)","(252, 1, 1)","0","7.5","0.006202","0.923296","0.080864","80.925599"
"437","160341","bench_runner","127.0.0.1","void fwMultiLayerRestBlocksKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(252, 252, 1)","0","7.5","1.937109","323.325312","23.143264","99.148385"
"438","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadBlockKernel<32>(int *, int, int, int)","1","7","(16, 16, 1)","(1, 1, 1)","0","7.5","0.000018","0.000000","0.011584","25.151732"
"439","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.001385","0.261280","0.075776","83.957659"
"440","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.001586","0.332704","0.076320","84.818827"
"441","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadBlockKernel<32>(int *, int, int, int)","1","7","(16, 16, 1)","(1, 1, 1)","0","7.5","0.000031","0.000000","0.014048","24.881701"
"442","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.002751","0.274208","0.101440","83.803619"
"443","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadColumnKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.003010","0.366336","0.102432","84.769801"
"444","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadBlockKernel<32>(int *, int, int, int)","1","7","(16, 16, 1)","(1, 1, 1)","0","7.5","0.000043","0.000000","0.016672","25.122007"
"445","160341","bench_runner","127.0.0.1","void fwMultiLayerLeadRowKernel<32>(int *, int, int, int, int)","1","7","(16, 16, 1)","(255, 1, 1)","0","7.5","0.004274","0.455168","0.123296","83.586302"
